,A1112Amp,A1112Dist,A14Amp,A14Dist,A15Amp,A15Dist,A16Amp,A16Dist,2004Class
2219,1.2,1185.5178516715323,4.5,1138.0191105346855,2.0,1082.419757480578,,, 16
2231,1.0,1170.9718024414428,2.2,1190.8566855711979,,,,,  8
2233,1.0,1409.7045523994987,3.5,1362.6065376695578,2.8,1122.6269491669798,,, 27
2239,0.5,1353.890256508696,2.5,1287.4203518749948,1.0,1099.1093544068638,,, 99
2248,0.5,1100.5369679217902,1.5,1128.9822561429787,1.0,1142.5976465233439,,, 20
2250,0.5,1268.325516080846,2.0,1234.008885866761,1.0,1142.3802193888548,,, 26
2252,0.5,2454.542334369667,2.0,2411.0273868911204,2.0,2156.5309135277057,,, 33
2263,,,1.2,1586.2398196116296,1.0,1189.8419990805705,,, 32
2280,1.5,1170.9718024414428,5.5,1190.8566855711979,1.0,1549.27341927681,,,  8
2292,0.5,1352.922514838855,2.4,1441.0010594994503,1.0,1790.6600615825173,,,218
2305,0.6,1442.5763323094827,3.5,1359.1589338807314,1.0,1221.597019991188,,,100
2307,0.3,1021.9215061534438,2.0,1034.0314607341952,1.0,952.487770379492,,, 17
2308,0.5,1604.8130659095275,2.0,1534.238201882201,0.5,1300.1131317668458,,, 38
2319,0.3,1268.325516080846,2.0,1234.008885866761,0.8,1142.3802193888548,,, 26
2322,,,1.5,1436.935419659339,1.0,1068.2587331917125,,,234
2323,,,2.0,1586.4065298954129,1.2,1128.9791034293028,,, 22
2326,0.5,802.5353428615504,2.5,802.5833444960475,0.5,1284.5887269529028,,,216
2330,1.0,1100.5369679217902,2.0,1128.9822561429787,1.8,1142.5976465233439,,, 20
2338,,,1.2,1234.008885866761,1.0,1142.3802193888548,,, 26
2339,1.0,1514.6089383157887,5.0,1446.5434140342634,3.8,1073.4525491012207,,, 18
2343,,,2.0,1229.7110577780227,1.2,1067.4246092705469,,, 36
2353,0.5,949.7916991414554,2.0,989.3076197735427,,,,,  1
2355,,,1.2,1301.0056776028398,1.5,890.69349932281,,,238
2357,,,1.2,1532.499377176931,1.2,1386.3822134829552,,, 37
2359,0.3,1783.9237878951758,1.2,1712.3894758905408,0.8,1279.5066528862674,,,  7
2368,,,1.5,1229.7110577780227,1.0,1067.4246092705469,,, 36
2373,,,1.0,989.3076197735427,0.3,1463.2142221322088,,,  1
2374,0.5,949.7916991414554,2.8,989.3076197735427,,,,,  1
2400,0.3,873.400314609295,1.8,814.7847539357139,,,,, 15
2402,0.3,912.0927989433404,2.0,881.9679140288905,,,,, 40
2413,,,2.5,1272.8122355263902,1.5,1112.087797573734,,,283
2414,0.5,929.969261367409,2.2,960.3339273841883,,,,, 41
2424,1.5,1100.5369679217902,2.8,1128.9822561429787,1.5,1142.5976465233439,,, 20
2425,1.0,1216.365285980001,4.0,1240.319766827933,1.5,1697.7076657362206,,, 10
2426,1.0,1228.2194962666015,3.0,1191.4342870106414,1.0,1612.6896927073726,,,201
2428,1.0,1216.365285980001,1.8,1240.319766827933,,,,, 10
2429,1.0,1848.3258610224625,3.0,1815.6828612027005,2.8,1406.8016229228533,,, 29
2432,1.8,1041.0517511100472,3.5,1038.8660552182653,1.0,1275.0951242119004,,,  9
2435,1.5,1016.7786668636286,4.5,1056.790105328364,2.0,1224.4403517391097,,, 30
2442,1.2,1041.0517511100472,2.2,1038.8660552182653,,,,,  9
2451,2.0,1042.5697576604264,4.0,1014.5476921460248,2.0,1065.509458309826,,, 34
2452,0.5,1041.0517511100472,1.2,1038.8660552182653,,,,,  9
2456,,,4.5,1138.0191105346855,1.8,1082.419757480578,,, 16
