,Year,DOY,StartTime,StopTime,A1112Amp,A14Amp,A15Amp,A16Amp,Availability,Quality,Comments,EventType,DeepClass,2004Class
315,70,135,1147,1210.0,2.0,,,,2,,,A,13,A 13
316,70,136,615,635.0,1.0,,,,2,,,,,
317,70,136,2221,2245.0,1.0,,,,2,,,,,A  7
318,70,137,1020,1045.0,1.5,,,,2,,,,,A104
319,70,140,1632,9999.0,1.0,,,,2,,TX,,,
320,70,140,1645,1740.0,3.0,,,,2,,TX,C,,
321,70,143,1,32.0,2.0,,,,2,,,,,A  7
322,70,143,529,555.0,1.0,,,,2,,,,,
323,70,143,722,740.0,1.0,,,,2,,,,,
324,70,143,1308,1415.0,12.0,,,,2,,,A,01,A  1
325,70,143,1547,,-1.0,,,,,,,,,A  6
326,70,143,2112,2140.0,2.0,,,,2,,,,,A 44
327,70,144,8,25.0,1.5,,,,2,,T?,,,A  6
328,70,144,435,515.0,3.5,,,,2,,,A,06,A  6
329,70,144,1227,9999.0,1.0,,,,2,,,,,A 21
330,70,144,1302,1320.0,1.0,,,,2,,,,,A 38
331,70,144,2312,2350.0,1.5,,,,2,,,,,A  5
332,70,145,1212,1240.0,3.0,,,,2,,,A,01,A  1
333,70,147,327,400.0,3.5,,,,2,,,,,A  1
334,70,147,546,600.0,1.0,,,,2,,,,,
335,70,147,858,915.0,1.0,,,,2,,,,,A 64
336,70,155,1517,1625.0,50.0,,,,2,,TX,C,,
337,70,156,1930,1955.0,1.5,,,,2,,,C,,
338,70,158,450,,-1.0,,,,,,,,,A 10
339,70,158,1101,1140.0,3.0,,,,2,,,,,
340,70,158,1223,1245.0,2.0,,,,2,,,A,09,A  9
341,70,158,1523,1620.0,2.0,,,,2,,,C,,
342,70,158,1807,1830.0,1.0,,,,2,,,,,
343,70,159,1100,1113.0,1.0,,,,2,,,,,
344,70,160,1023,1050.0,1.5,,,,2,,,,,A  8
345,70,160,2200,2220.0,1.0,,,,2,,,,,A  1
346,70,161,702,720.0,1.0,,,,2,,,,,A 10
347,70,161,2234,2255.0,1.0,,,,2,,,A,10,A 10
348,70,162,800,827.0,2.0,,,,2,,,A,12,A 12
349,70,162,1911,1930.0,1.0,,,,2,,,,,
350,70,163,322,335.0,1.0,,,,2,,,,,A204
351,70,163,943,1005.0,0.5,,,,2,,,,,
352,70,163,1055,1125.0,1.0,,,,2,,,A,13,A 13
353,70,164,40,110.0,2.0,,,,2,,,C,,
354,70,164,536,605.0,1.0,,,,2,,,M,,A206
355,70,166,35,105.0,1.5,,,,2,,,,,A  7
356,70,166,1900,2010.0,22.0,,,,2,,,C,,
357,70,167,236,305.0,1.0,,,,2,,,,,
358,70,168,1250,,-1.0,,,,,,,,,A  6
359,70,168,2346,3.0,1.0,,,,2,,,,,A 41
360,70,169,1533,1612.0,2.5,,,,2,6,,C,,
361,70,170,241,315.0,2.0,,,,2,,,C,,
362,70,170,648,710.0,1.0,,,,2,,,A,14,A 14
363,70,170,1525,1548.0,1.0,,,,2,,,,,
364,70,170,2127,2200.0,3.0,,,,2,,,A,07,A  7
365,70,171,30,140.0,9.0,,,,2,,,A,01,A  1
366,70,171,1706,1725.0,1.0,,,,2,,,,,
367,70,171,1831,1855.0,1.0,,,,2,,,,,A 22
368,70,171,2023,2050.0,1.0,,,,2,,,,,
369,70,171,2342,5.0,1.0,,,,2,,,,,A 21
370,70,172,348,410.0,1.0,,,,2,,,,,
371,70,172,1458,1520.0,0.5,,,,2,,,,,A  6
372,70,172,1616,1645.0,1.0,,,,2,,,A,06,A  6
373,70,172,2322,2350.0,2.0,,,,2,,,A,05,A  5
374,70,173,306,325.0,1.0,,,,2,,,A,03,A  3
375,70,173,1158,1225.0,2.0,,,,2,,,A,01,A  1
376,70,174,1100,1120.0,1.0,,,,,,,,,A 64
377,70,174,1201,1230.0,1.0,,,,2,,,,,
378,70,175,40,105.0,1.5,,,,2,,,A,01,A  1
379,70,175,2205,2220.0,1.0,,,,2,,,,,A  1
380,70,177,2001,2145.0,35.0,,,,2,,,C,,
381,70,181,112,130.0,1.0,,,,2,,,,,
382,70,183,1019,1045.0,1.0,,,,2,,,,,
383,70,183,1905,1930.0,1.0,,,,2,,,,,A201
384,70,184,700,730.0,2.0,,,,2,,,,,
385,70,185,602,620.0,1.0,,,,2,,,,,A301
386,70,185,1612,1632.0,1.5,,,,2,,,A,09,A  9
387,70,186,1710,1750.0,2.5,,,,2,,,C,,
388,70,186,1958,2015.0,0.5,,,,2,,,,,A  8
389,70,187,1135,1155.0,1.0,,,,2,,T?,,,A  2
390,70,187,1418,1435.0,1.0,,,,2,,,,,
391,70,187,1518,1545.0,1.5,,,,2,,,A,08,A  8
392,70,187,2214,2233.0,2.5,,,,2,,,C,,
393,70,189,231,325.0,3.0,,,,2,,,C,,
394,70,189,1809,1830.0,1.0,,,,2,,,A,13,A  1
395,70,190,448,510.0,1.0,,,,2,,,,,A 10
396,70,190,710,735.0,1.0,,,,2,,,,,A222
397,70,190,1712,1735.0,0.5,,,,2,,,,,
398,70,191,456,520.0,1.0,,,,2,,,,,A 13
399,70,191,1937,2000.0,0.5,,,,2,,,,,
400,70,193,552,620.0,2.2,,,,2,,,A,65,A206
401,70,193,1400,1420.0,0.5,,,,2,,,,,
402,70,194,1550,1630.0,1.5,,,,2,,,A,07,A  6
403,70,196,310,325.0,1.0,,,,2,,,,,A 65
404,70,196,738,810.0,1.0,,,,2,,,,,A 43
405,70,196,1406,1435.0,1.5,,,,2,,,A,06,A  6
406,70,196,2135,2200.0,1.0,,,,2,,,A,63,A 22
407,70,197,348,420.0,2.5,,,,2,,,A,01,A  1
408,70,197,702,725.0,1.0,,,,2,,,,,A  4
409,70,197,819,840.0,1.0,,,,2,,,,,
410,70,197,2025,2055.0,1.0,,,,2,,,,,
411,70,197,2254,2310.0,1.0,,,,2,,,,,A 14
412,70,198,135,200.0,1.0,,,,2,,,A,14,A 86
413,70,198,502,535.0,2.0,,,,2,,,A,07,A  7
414,70,199,33,110.0,4.0,,,,2,,,A,01,A  1
415,70,199,854,915.0,1.0,,,,2,,,,,
416,70,200,1542,1615.0,1.0,,,,2,,,A,06,A  6
417,70,201,506,9999.0,20.0,,,,2,,,C,,
418,70,201,638,710.0,3.0,,,,2,,,M,,
419,70,201,1117,9999.0,3.0,,,,1,,,A,05,A  5
420,70,201,1144,1240.0,9.0,,,,2,,,A,01,A  1
421,70,202,2150,2210.0,1.0,,,,2,,,,,A  6
422,70,204,535,612.0,2.0,,,,2,,,A,01,A  1
423,70,205,1752,1810.0,1.0,,,,,,,,,
424,70,208,340,450.0,8.5,,,,2,,,C,,
425,70,210,141,210.0,1.0,,,,2,,,,,
426,70,210,500,525.0,1.0,,,,2,,,,,
427,70,210,2330,2354.0,1.0,,,,2,,,,,A 23
428,70,211,110,130.0,1.0,,,,2,,,,,A 39
429,70,211,400,425.0,1.0,,,,2,,,,,A 39
430,70,211,2148,2210.0,1.0,,,,2,,,,,A 10
431,70,212,953,1015.0,1.5,,,,,,,,,A 10
432,70,212,1222,1250.0,1.5,,,,2,,,,,A  2
433,70,213,9,25.0,1.5,,,,2,,,A,09,A  9
434,70,214,348,410.0,1.0,,,,2,,,,,A  8
435,70,214,600,620.0,1.0,,,,2,,,,,A306
436,70,214,2032,2105.0,1.0,,,,2,,,,,
437,70,214,2041,,-1.0,,,,,,,,,A 10
438,70,215,218,240.0,1.0,,,,2,,,,,
439,70,215,558,635.0,2.0,,,,2,,,,,
440,70,215,733,805.0,2.0,,,,2,,,,,A  8
441,70,215,933,955.0,0.5,,,,2,,,,,A204
442,70,216,1349,1410.0,0.5,,,,2,,,,,
443,70,217,435,500.0,0.5,,,,2,,,,,A222
444,70,217,1207,1305.0,2.0,,,,2,,,C,,
445,70,217,1805,1825.0,1.0,,,,2,,,,,
446,70,218,311,330.0,1.0,,,,2,,,,,A 10
447,70,218,631,648.0,1.0,,,,2,,,,,
448,70,219,840,922.0,8.5,,,,2,,,C,,
449,70,221,2108,2130.0,0.5,,,,2,,,,,
450,70,222,131,200.0,0.5,,,,2,,,,,
451,70,222,515,545.0,1.0,,,,2,,,,,
452,70,222,950,9999.0,1.0,,,,2,,,,,
453,70,222,1018,1035.0,0.5,,,,2,,,,,
454,70,222,1137,1201.0,1.0,,,,2,,,,,A206
455,70,223,13,35.0,9.0,,,,2,,,C,,
456,70,223,428,500.0,1.5,,,,2,,,A,07,A  7
457,70,223,1423,1450.0,1.0,,,,2,,,M,,A224
458,70,223,1818,1850.0,1.0,,,,2,,,,,
459,70,224,1144,1220.0,2.0,,,,2,,,,,A 22
